SMILES,DC_exp
CCCCOC(=O)CC(CC(=O)OCCCC)C(=O)OCCCC,5.7
CCCCCCCCCCCOC(=O)C1CCCCC1,3.45
CCCCCCCCCCCC(=O)OC1CCCCC1,3.5
CCCCCCCCC=CCCCCCCCCO,3.85
CCCCCCCCCCCCOC(=O)C1CCCCC1,3.37
CCCCCCC(CCCCCC)CCCCCC,2.0715
CCCCCCCCCCCCCCCCCC(=O)OCC,3.106
CC(C)CCOC(=O)CC(CC(=O)OCCC(C)C)C(=O)OCCC(C)C,5.1
CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,5.22
CCCCCCC(O)CC=CCCCCCCCC(=O)OCC(C)C,4.7
CCCCCCCCC=CCCCCCCCCCCCC(=O)OC,3.043
CCCCCCCCCOC(=O)CCCC(=O)OCCCCCCCCC,4.0
CC(C)CCCC(C)CCCC(C)CCCC(C)CCC(C)C(=O)O,2.76
O=C(CCCCCCCCC(=O)OCc1ccccc1)OCc1ccccc1,4.61
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,4.96
CCCCCCCCC(CCCCCCCC)CCCCCCCC,2.1061
CC(C)CC(C)(C)CCOC(=O)c1ccccc1C(=O)OCCC(C)(C)CC(C)C,4.72
CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,3.931
