SMILES,name,tc_0C_W_mK,tc_10C_W_mK,tc_20C_W_mK,tc_30C_W_mK,tc_40C_W_mK,tc_50C_W_mK,tc_60C_W_mK,tc_70C_W_mK,tc_80C_W_mK,tc_90C_W_mK,tc_100C_W_mK
CCN(C)CCc1ccccc1,"ethanamine, N-methyl-N-(2-phenylethyl)-",0.143059,0.14157128,0.140082335,0.138590075,0.137092555,0.135586405,0.134069625,0.132540215,0.130995545,0.12943256,0.127853
CCCCNc1ccc(C)cc1,"aniline, N-butyl-4-methyl-",0.149219,0.147769565,0.146319935,0.14486799,0.143412415,0.14195121,0.14048206,0.13900291,0.1375125,0.136007775,0.13449
CCCNCCc1ccccc1,N-propylbenzeneethanamine,0.157815,0.156245765,0.15467582,0.15310193,0.151521725,0.1499332599999999,0.148333795,0.14672207,0.1450947149999999,0.143450045,0.141788
CCCCCNc1ccccc1,"aniline, N-amyl-",0.162741,0.16119501,0.159648695,0.15810075,0.15654949,0.154993285,0.153429135,0.151854985,0.15026989,0.14867085,0.147058
CCN(CC)Cc1ccccc1,"N,N-diethylbenzylamine",0.140978,0.13949291,0.1380056499999999,0.13651376,0.13501524,0.133507775,0.131988365,0.13045464,0.128904655,0.12733504,0.125747
CCCCCc1ccc(N)cc1,4-pentylbenzenamine,0.18054,0.178932795,0.177325795,0.175718165,0.17410759,0.1724917,0.17086918,0.1692380299999999,0.167595935,0.16594084,0.164274
Cc1cccc(C(C)(C)C)c1N,2-tert-butyl-6-methylaniline,0.149449,0.14816354,0.146879855,0.145596855,0.14431291,0.14302628,0.14173639,0.140440185,0.13913698,0.137825515,0.136505
CC(C)CCNc1ccccc1,N-isoamylaniline,0.156345,0.154871005,0.153397375,0.15192143,0.1504418549999999,0.148956965,0.14746513,0.145963665,0.144450885,0.14292516,0.141386
O=C(O)C(Cl)(Cl)Cl,trichlorethanoic acid,0.142123,0.14024073,0.1383947,0.13658478,0.1348056,0.133052845,0.1313212,0.12960561,0.12790213,0.12620539,0.124511
CC(O)C(Cl)(Cl)Cl,"1,1,1-trichloroisopropanol",0.124377,0.122957795,0.12155804,0.12018097,0.118826215,0.11749446,0.116185705,0.114899635,0.113636195,0.112396755,0.111178
ClC(Cl)Br,bromodichloromethane,0.104281,0.10293112,0.101576285,0.1002112215,0.098832187,0.0974355295,0.0960172065,0.0945734235,0.0931002435,0.0915938035,0.0900547
O=C(O)C(F)(F)C(F)(F)F,pentafluoropropanoic acid,0.0907336,0.089174868,0.0875929645,0.085980649,0.084332964,0.0826447355,0.080911032,0.079126822,0.0772870055,0.0753865455,0.0734282
CCOC(F)(F)C(F)(F)F,ethyl pentafluoroethyl ether,0.085866,0.0834715955,0.081077264,0.0786828955,0.076288564,0.0738941955,0.071499864,0.0691054955,0.066711164,0.0643167955,0.0619225
Fc1cccc(C(F)(F)F)c1,"toluene, m,.alpha.,.alpha.,.alpha.-tetrafluoro-",0.0902702,0.0889688335,0.0876544415,0.086322084,0.084968061,0.0835886725,0.0821802185,0.0807390305,0.0792614455,0.077743695,0.0761873
Fc1ccc(C(F)(F)F)cc1,"toluene, p,.alpha.,.alpha.,.alpha.-tetrafluoro-",0.0877276,0.0863603875,0.084975989,0.0835682415,0.082132608,0.0806645625,0.079159431,0.077612719,0.0760197895,0.074376111,0.0726837
O=C(O)C=Cc1cccc(O)c1,trans-m-hydroxycinnamic acid,0.164171,0.162966945,0.16177404,0.160594135,0.159426915,0.158271695,0.157128475,0.15599757,0.154879665,0.15377413,0.152679
O=C(O)C=Cc1ccccc1O,trans-o-hydroxycinnamic acid,0.173442,0.17176647,0.170111085,0.168477015,0.166864945,0.165274875,0.163706805,0.16216042,0.160635035,0.1591309649999999,0.157646
NC(=O)c1cccc(C(N)=O)c1,isophthalamide,0.361444,0.35872183,0.356006035,0.353296925,0.35059287,0.3478915,0.3451915,0.34249087,0.339787925,0.337081035,0.334369
NC(=O)c1ccc(C(N)=O)cc1,terephthalamide,0.364353,0.3615993799999999,0.358853585,0.35611416,0.353379105,0.35064705,0.347916735,0.34518542,0.34245216,0.339714585,0.336972
O=CCc1ccc2c(c1)OCO2,"5-oxoethyl-1,3-benzodioxole",0.177537,0.175713055,0.17392045,0.172160215,0.17042972,0.168725595,0.167045525,0.165386825,0.163746865,0.16212196,0.160508
O=C(O)/C=C/c1ccc(O)cc1,3-(4-hydroxyphenyl)-2-propenoic acid,0.178481,0.176712545,0.174961215,0.173228515,0.171515185,0.169819855,0.168143155,0.16648614,0.16484844,0.1632301099999999,0.161629
O=C(O)C=C(O)Cc1ccccc1,3-benzyl-3-hydroxy-2-propenoic acid,0.175364,0.17366391,0.171984525,0.17032677,0.168691385,0.16707763,0.165486245,0.163916175,0.1623681049999999,0.16084172,0.159335
OCC1OCC(O)C(O)C1O,1-Deoxy-D-glucopyranose,0.214317,0.21209674,0.20990093,0.207731435,0.205588625,0.203472445,0.201383635,0.199320825,0.19728433,0.195274835,0.193289
OCC1OC(O)CC(O)C1O,2-deoxy-D-glucose,0.218095,0.215931065,0.213789625,0.211672815,0.20958169,0.207515565,0.20547444,0.203458315,0.20146719,0.199501065,0.197557
O=C1OC(=O)[C@H]2[C@@H]1[C@H]1C=C[C@H]2C1,"3a.alpha.,4.alpha.,7.alpha.,7a.alpha.-3a,4,7,7a-tetrahydro-4,7-methanoisobenzofuran-1,3-dione",0.209975,0.206996255,0.204102235,0.201298325,0.198578525,0.195937465,0.1933702,0.190870675,0.188433945,0.18605364,0.183719
C[C@H](O)[C@H](O)[C@@H](O)[C@H](O)C=O,6-deoxy-d-glucose,0.183742,0.182828035,0.181919555,0.181018445,0.18012365,0.179235855,0.17835506,0.177481265,0.17661447,0.175754675,0.174901
