SMILES,name,kv_0C_cSt,kv_10C_cSt,kv_20C_cSt,kv_30C_cSt,kv_40C_cSt,kv_50C_cSt,kv_60C_cSt,kv_70C_cSt,kv_80C_cSt,kv_90C_cSt,kv_100C_cSt
C/C=C\OC(O/C=C\C)C(C)C,"(Z,Z)-1,1-bis(1-propenoxy)-2-methylpropane",3.826,3.088,2.516,2.083,1.749,1.487,1.28,1.113,0.977,0.866,0.771
CCC#CC(C)(O)C(C)(O)CC,"3,4-dimethyl-5-octyne-3,4-diol",1198.868,642.272,343.309,192.083,111.985,67.762,42.408,27.367,18.161,12.363,8.486
CC(C)C1CCC(C)(C(=O)O)C1,1-methyl-3-isopropylcyclopentanecarboxylic acid,23.887,17.56,13.057,9.936,7.72,6.11,4.917,4.017,3.326,2.789,2.355
CC1CCC(CC(=O)O)C1(C)C,"2,2,3-Trimethylcyclopentaneacetic acid",10.677,8.271,6.475,5.165,4.19,3.45,2.88,2.434,2.08,1.796,1.56
CCCCCCC1CCC(=O)O1,.gamma.-decalactone,5.616,4.511,3.682,3.069,2.602,2.238,1.948,1.714,1.521,1.361,1.224
CCCCCCCC=CC(=O)O,2-decenoic acid,17.954,13.721,10.597,8.347,6.692,5.451,4.504,3.77,3.194,2.734,2.356
CCCCCCC(O)C#CCO,"2-decyne-1,4-diol",198.189,125.493,80.037,52.76,35.827,24.989,17.857,13.044,9.72,7.377,5.645
C=CCC(C)(O)CCCCCC,4-methyl-1-decen-4-ol,332.303,189.585,108.573,64.88,40.27,25.86,17.123,11.655,8.133,5.806,4.181
CCC1=CC(C)(C)OC(C)(C)C1,"5,6-dihydro-4-ethyl-2,2,6,6-tetramethyl-2H-pyran",7.971,6.114,4.737,3.741,3.006,2.455,2.033,1.707,1.45,1.246,1.078
CCC(=O)CC(C)CC(C)CC,"5,7-dimethyl-3-nonanone",3.38,2.741,2.249,1.878,1.592,1.367,1.187,1.042,0.922,0.823,0.738
CCC(=O)C(C)(CC)CC(C)C,"4-ethyl-4,6-dimethyl-3-heptanone",3.627,2.95,2.428,2.033,1.728,1.488,1.295,1.139,1.01,0.903,0.812
CCC(CC)CC(C)CC(C)=O,6-ethyl-4-methyl-2-octanone,3.485,2.823,2.313,1.929,1.633,1.401,1.216,1.065,0.942,0.84,0.753
CCCCCCC(C)C(=O)CC,4-methyl-3-decanone,4.348,3.491,2.838,2.35,1.977,1.685,1.455,1.269,1.117,0.992,0.886
CC(=O)CCC(C)CC(C)(C)C,"5,7,7-trimethyl-2-octanone",3.767,3.053,2.505,2.092,1.774,1.523,1.324,1.162,1.029,0.919,0.824
CCCCCCCC(=O)CCC,4-undecanone,3.123,2.505,2.056,1.733,1.492,1.306,1.159,1.04,0.941,0.858,0.786
CCCCCCC(C)CC(C)=O,4-methyl-2-decanone,3.961,3.184,2.592,2.149,1.809,1.544,1.333,1.164,1.026,0.911,0.814
CCCC(=O)C(CCC)CCC,5-propyl-4-octanone,4.612,3.691,2.992,2.471,2.074,1.765,1.521,1.325,1.165,1.033,0.922
CCCCCC(=O)CCCCC,6-undecanone,3.287,2.594,2.101,1.755,1.5,1.307,1.157,1.036,0.937,0.854,0.783
CCCCCCCCC(C)C=O,2-methyldecanal,5.559,4.404,3.522,2.864,2.365,1.979,1.677,1.437,1.245,1.088,0.957
CO[C@H]1CC[C@@H](C(C)(C)C)CC1,"cis-1-(1,1-dimethylethyl)-4-methoxycyclohexane",8.442,6.534,5.106,4.064,3.289,2.702,2.25,1.898,1.62,1.397,1.212
